0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.018,0.02,0.022,0.023,0.025,0.025,0.027,0.06,0.028,0.032,0.046,0.065,0.046,0.066,0.042,0,0.029,0.032,0.056,0.026,0.026,0.031,0.023,0.02,0.041,0.022,0.019,0.017,0.018,0.016,0.031,0.035,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.019,0.019,0.02,0.022,0.042,0.024,0.037,0.026,0.029,0.029,0.048,0.029,0.028,0,0.021,0.095,0.051,0.046,0.047,0.029,0.023,0.054,0.032,0.024,0.019,0.021,0.019,0.035,0.043,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023,0.024,0.029,0.028,0.041,0.034,0.035,0.118,0.03,0.026,0.039,0.032,0.03,0.073,0.032,0.035,0.023,0,0.045,0.022,0.022,0.024,0.02,0.018,0.037,0.019,0.017,0.016,0.016,0.015,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.019,0.019,0.02,0.021,0.042,0.023,0.031,0.026,0.03,0.031,0.046,0.028,0.029,0.05,0.022,0,0.06,0.036,0.067,0.037,0.027,0.062,0.033,0.026,0.021,0.023,0.02,0.037,0.045,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.016,0.017,0.018,0.018,0.018,0.02,0.039,0.021,0.03,0.023,0.026,0.027,0.043,0.025,0.025,0.051,0.02,0.115,0,0.039,0.044,0.033,0.025,0.063,0.037,0.026,0.021,0.022,0.02,0.037,0.046,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0.019,0.019,0.021,0.02,0.021,0.023,0.043,0.026,0.04,0.026,0.027,0.027,0.05,0.03,0.027,0.05,0.022,0.074,0.042,0,0.036,0.027,0.023,0.058,0.037,0.026,0.021,0.022,0.02,0.039,0.048,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.017,0.018,0.018,0.019,0.019,0.021,0.042,0.022,0.031,0.026,0.032,0.034,0.046,0.028,0.03,0.046,0.022,0.127,0.044,0.033,0,0.032,0.025,0.053,0.028,0.023,0.019,0.021,0.018,0.034,0.041,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.018,0.019,0.019,0.02,0.041,0.021,0.026,0.023,0.027,0.029,0.043,0.024,0.026,0.032,0.021,0.081,0.038,0.029,0.037,0,0.044,0.074,0.032,0.03,0.025,0.03,0.023,0.043,0.052,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0.017,0.018,0.019,0.019,0.019,0.02,0.041,0.021,0.025,0.023,0.026,0.027,0.043,0.024,0.025,0.029,0.021,0.066,0.032,0.027,0.031,0.049,0,0.074,0.031,0.033,0.03,0.038,0.026,0.05,0.057,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.038,0.021,0.026,0.022,0.024,0.024,0.042,0.023,0.023,0.031,0.02,0.068,0.037,0.031,0.031,0.038,0.034,0,0.047,0.051,0.032,0.036,0.029,0.052,0.072,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
