,0
0,2.397127993400663
1,0.8932398769341146
2,1.1657313786149897
3,1.2594986671368347
4,1.169543474591019
5,1.5451964722884397
6,6.872472169191353
7,6.426536985813569
8,5.480340162050316
9,1.4754997095988298
10,9.564110373602471
11,1.6964694646310952
12,1.496333090542289
13,9.066553386072737
14,1.83505352739659
15,1.765660681628387
16,8.9563423139156
17,5.298005690274558
18,9.509292968767708
19,1.7470933410230363
20,1.5543549845935287
21,1.6946121039454356
22,1.13658966812859
23,1.0057399704002519
24,3.9098147972909
25,1.272814904436506
26,1.0696438256330296
27,1.0079489129058525
28,0.9572993804195051
29,0.9165584734350603
30,1.9049295154994959
31,3.1688267087226394
32,0.7813399691219907
